StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,SVO_01,SVO_02,SVO_03,SVO_04,SVO_05,SVO_06,SVO_07,SVO_08,SVO_09,SVO_10,SVO_11,SVO_12,SVO_13,SVO_14,SVO_15
05/12/2022 11:10,05/12/2022 11:12,IP Address,80.192.54.117,100,79,TRUE,05/12/2022 11:12,R_oZ7xXR7fK2f81xf,,,,,51.8659,-2.2059,anonymous,EN,607d6e86f96c147cf2b3223c,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50"
05/12/2022 11:09,05/12/2022 11:12,IP Address,82.45.94.166,100,216,TRUE,05/12/2022 11:12,R_2zD7HnsNX0YjspA,,,,,56.0118,-4.594,anonymous,EN,637f7c6517daaa050a1632ba,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","88
|
|
93","75
|
|
75","93
|
|
93","91
|
|
94"
05/12/2022 11:09,05/12/2022 11:13,IP Address,80.6.24.203,100,230,TRUE,05/12/2022 11:13,R_ZaWpWtLkoZyPqtH,,,,,51.8771,-0.5383,anonymous,EN,57698d52688a5c00018d958d,"85
|
|
85",100||50,"85
|
|
85","63
|
|
68","75
|
|
75","85
|
|
85","78
|
|
88","98
|
|
93","81
|
|
81","93
|
|
93","85
|
|
85","100
|
|
90","75
|
|
75","93
|
|
93","93
|
|
88"
05/12/2022 11:09,05/12/2022 11:13,IP Address,86.167.54.64,100,238,TRUE,05/12/2022 11:13,R_VVZbVeDWHdUZXZn,,,,,53.2845,-3.8272,anonymous,EN,5fb249cbf1bb8b7db9bb8d13,"85
|
|
85",100||50,"85
|
|
85","63
|
|
68","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","91
|
|
94"
05/12/2022 11:11,05/12/2022 11:13,IP Address,86.183.101.131,100,82,TRUE,05/12/2022 11:13,R_3ffUpIQEz8BAo9N,,,,,50.8383,-0.6708,anonymous,EN,5efde724d80f81077c0800b9,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","85
|
|
85","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","75
|
|
75","100
|
|
90","100
|
|
50"
05/12/2022 11:09,05/12/2022 11:14,IP Address,92.12.51.160,100,264,TRUE,05/12/2022 11:14,R_sOwU9flgheR5R4d,,,,,52.6261,1.3034,anonymous,EN,5ea55df76205ad53a793bc01,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","91
|
|
94"
05/12/2022 11:16,05/12/2022 11:20,IP Address,78.86.134.0,100,277,TRUE,05/12/2022 11:20,R_2TGomJeowya5yyD,,,,,51.4964,-0.1224,anonymous,EN,62d74d71b0066f8989cf9508,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","81
|
|
69","89
|
|
76","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","89
|
|
81","100
|
|
90","75
|
|
75","93
|
|
93","93
|
|
88"
05/12/2022 11:18,05/12/2022 11:20,IP Address,86.176.138.243,100,119,TRUE,05/12/2022 11:20,R_28FFaENdfTPEN0D,,,,,52.8904,-2.8718,anonymous,EN,5a521328ac56240001535ff5,"85
|
|
50","98
|
|
46","85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","85
|
|
75","95
|
|
95","81
|
|
81","95
|
|
85","85
|
|
85","100
|
|
90","75
|
|
75","93
|
|
93","91
|
|
94"
05/12/2022 11:21,05/12/2022 11:24,IP Address,82.36.108.198,100,173,TRUE,05/12/2022 11:24,R_1LFp0ukayfUVXBy,,,,,51.5834,-0.0755,anonymous,EN,5c61b5da31489a0001fa81c5,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","93
|
|
88"
05/12/2022 11:24,05/12/2022 11:27,IP Address,51.155.163.84,100,183,TRUE,05/12/2022 11:27,R_1gHJHvnUVMQGZZ7,,,,,51.5113,-0.2714,anonymous,EN,623478b74666adc4ae9be6ab,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","88
|
|
78","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","91
|
|
94"
05/12/2022 11:27,05/12/2022 11:30,IP Address,86.159.227.26,100,184,TRUE,05/12/2022 11:30,R_3dM6NoXP7klYpFs,,,,,57.5324,-2.3883,anonymous,EN,5b4e50fb369f840001136070,"85
|
|
68",100||50,"85
|
|
85","76
|
|
36","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50"
05/12/2022 11:29,05/12/2022 11:33,IP Address,77.101.33.141,100,243,TRUE,05/12/2022 11:33,R_3PAfsCzfuhyMVID,,,,,52.4748,-2.0089,anonymous,EN,6118dff288581511b59acbcc,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","91
|
|
72","81
|
|
81","100
|
|
90","94
|
|
74","93
|
|
93","85
|
|
85","100
|
|
90","75
|
|
75","96
|
|
91","90
|
|
100"
05/12/2022 11:30,05/12/2022 11:34,IP Address,83.100.249.173,100,253,TRUE,05/12/2022 11:34,R_2V9NZgDP4m5nYK9,,,,,53.7606,-0.3734,anonymous,EN,56b98f00769307000d12c021,"85
|
|
85","96
|
|
41","85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","85
|
|
75","95
|
|
95","81
|
|
81","95
|
|
85","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","91
|
|
94"
05/12/2022 11:34,05/12/2022 11:36,IP Address,81.146.30.38,100,127,TRUE,05/12/2022 11:36,R_4JCKWaUuphWwtCp,,,,,51.3986,-3.2791,anonymous,EN,603ceb8f82d6b0a88e6cb99a,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","85
|
|
75","95
|
|
95","81
|
|
81","95
|
|
85","85
|
|
85","81
|
|
94","75
|
|
75","100
|
|
90","95
|
|
75"
05/12/2022 11:36,05/12/2022 11:40,IP Address,2.221.201.241,100,249,TRUE,05/12/2022 11:40,R_UrNATFHTeNECCMp,,,,,51.7512,-3.3778,anonymous,EN,60dcbb9b52603d2081d2ecac,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","100
|
|
90","93
|
|
88"
05/12/2022 11:40,05/12/2022 11:44,IP Address,188.30.67.23,100,190,TRUE,05/12/2022 11:44,R_1IbBJaCQbWXMI3O,,,,,50.8007,-1.0806,anonymous,EN,5e2872fffcdb020467d12799,"85
|
|
50",100||50,"85
|
|
85","76
|
|
36","100
|
|
50","100
|
|
50","96
|
|
56","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","99
|
|
56"
05/12/2022 11:42,05/12/2022 11:45,IP Address,51.190.171.91,100,140,TRUE,05/12/2022 11:45,R_1j7COfdoAsOKUJs,,,,,51.5646,0.0898,anonymous,EN,604b6aea586d035690aa609f,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50"
05/12/2022 11:40,05/12/2022 11:45,IP Address,86.169.22.9,100,314,TRUE,05/12/2022 11:45,R_2uCeVrYNHtpmMua,,,,,52.2045,1.5715,anonymous,EN,60e85190b9cffd8fed0a064f,"85
|
|
85",100||50,"85
|
|
85","63
|
|
68","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","91
|
|
94"
05/12/2022 11:45,05/12/2022 11:49,IP Address,46.208.85.142,100,237,TRUE,05/12/2022 11:49,R_2uR5AieDA3oXFTq,,,,,52.7212,-2.7456,anonymous,EN,5e3d71c28eb5270274d528b8,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","91
|
|
94"
05/12/2022 11:41,05/12/2022 11:50,IP Address,86.162.31.252,100,555,TRUE,05/12/2022 11:50,R_2PuN40h9LWpxMk3,,,,,51.5074,-0.1196,anonymous,EN,5affe1f4331e8100018f1d45,"85
|
|
85",100||50,"85
|
|
85","50
|
|
100","100
|
|
50","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","100
|
|
90","50
|
|
100","93
|
|
93","90
|
|
100"
05/12/2022 11:48,05/12/2022 11:51,IP Address,147.161.167.76,100,153,TRUE,05/12/2022 11:51,R_Del8fTvB8YQ6blL,,,,,51.5329,-0.005,anonymous,EN,6294b77f8782497d0f35bd25,"85
|
|
85",100||50,"85
|
|
85","72
|
|
47","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","100
|
|
90","75
|
|
75","100
|
|
90","93
|
|
88"
05/12/2022 11:53,05/12/2022 11:55,IP Address,86.166.61.154,100,156,TRUE,05/12/2022 11:55,R_25BeIhjH11rhxW4,,,,,52.9145,-2.7995,anonymous,EN,5a7094c4f660ae0001a98bd5,"85
|
|
85",100||50,"85
|
|
85","63
|
|
68","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","93
|
|
88"
05/12/2022 11:54,05/12/2022 11:57,IP Address,88.104.240.47,100,155,TRUE,05/12/2022 11:57,R_2bI43kn0kquQGD0,,,,,52.25,-0.8833,anonymous,EN,5f730f95d56846036b17e717,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50"
05/12/2022 12:10,05/12/2022 12:13,IP Address,146.200.39.145,100,214,TRUE,05/12/2022 12:13,R_2rUfwMp7L9i1LLD,,,,,51.4719,-0.1616,anonymous,EN,5e9027110aacc7320bd9a84b,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","85
|
|
75","98
|
|
93","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","93
|
|
88"
05/12/2022 12:12,05/12/2022 12:16,IP Address,94.174.9.67,100,233,TRUE,05/12/2022 12:16,R_z73Nr2jNQiiINfr,,,,,52.5876,-1.9828,anonymous,EN,5c7eb988ac63960015004d03,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","96
|
|
69"
05/12/2022 12:14,05/12/2022 12:17,IP Address,90.208.17.142,100,196,TRUE,05/12/2022 12:17,R_1hA3SXYUCFuiSWj,,,,,53.7263,-1.7065,anonymous,EN,5cf0e467027fc1001560c7ff,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","87
|
|
81","85
|
|
75","96
|
|
94","88
|
|
78","95
|
|
85","89
|
|
81","94
|
|
91","81
|
|
69","96
|
|
91","93
|
|
88"
05/12/2022 12:16,05/12/2022 12:18,IP Address,80.195.30.178,100,112,TRUE,05/12/2022 12:18,R_AuOv592f15Hhpwl,,,,,52.5319,-1.7424,anonymous,EN,637e1b9e6e04cf9ca47229ce,"85
|
|
15",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50"
05/12/2022 12:16,05/12/2022 12:21,IP Address,51.182.76.111,100,263,TRUE,05/12/2022 12:21,R_1Owww4GQ9pF1uFJ,,,,,52.5062,-1.9425,anonymous,EN,6228bb4a2d9521a055debb4a,"85
|
|
85",100||50,"85
|
|
85","63
|
|
68","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","100
|
|
90","75
|
|
75","100
|
|
90","90
|
|
100"
05/12/2022 13:11,05/12/2022 13:18,IP Address,81.99.103.242,100,390,TRUE,05/12/2022 13:18,R_2czM4gQpri5G4Fc,,,,,52.3306,-0.5319,anonymous,EN,5b1966a168a5ed0001735813,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","95
|
|
85","85
|
|
85","94
|
|
91","81
|
|
69","93
|
|
93","93
|
|
88"
05/12/2022 13:23,05/12/2022 13:28,IP Address,92.207.42.206,100,330,TRUE,05/12/2022 13:28,R_2WUqRC5wQ9pbhag,,,,,53.4826,-1.2356,anonymous,EN,5e14c068ed1b3b000cf0e3c7,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","81
|
|
69","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","95
|
|
85","85
|
|
85","100
|
|
90","75
|
|
75","96
|
|
91","90
|
|
100"
05/12/2022 14:10,05/12/2022 14:13,IP Address,82.21.81.247,100,171,TRUE,05/12/2022 14:13,R_2xDDYVKElQJe9Yc,,,,,52.4835,-2.0835,anonymous,EN,5c00fefa4c14cf00019cc374,"85
|
|
85",100||50,"85
|
|
85","63
|
|
68","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","100
|
|
90","75
|
|
75","93
|
|
93","90
|
|
100"
05/12/2022 14:23,05/12/2022 14:27,IP Address,86.161.61.8,100,231,TRUE,05/12/2022 14:27,R_Ub7B95yxobeOVd7,,,,,56.0642,-4.3365,anonymous,EN,5c73a9d92dfbdb0001b95375,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50"
05/12/2022 14:28,05/12/2022 14:29,IP Address,82.132.235.229,100,102,TRUE,05/12/2022 14:29,R_vNBeOSGeiCeJoZz,,,,,51.5888,-0.0247,anonymous,EN,602cc4e8166df75e2ff9d443,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50"
05/12/2022 15:15,05/12/2022 15:17,IP Address,86.3.212.200,100,141,TRUE,05/12/2022 15:17,R_3nOUCblNG0BlKMi,,,,,51.4866,-3.1549,anonymous,EN,62ce98befb7d0dbd39cc070d,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","100
|
|
50","91
|
|
72","100
|
|
50","100
|
|
90","100
|
|
70","99
|
|
74","100
|
|
70","100
|
|
90","94
|
|
56","100
|
|
90","90
|
|
100"
05/12/2022 12:19,05/12/2022 17:21,IP Address,80.193.69.190,100,18120,TRUE,05/12/2022 17:21,R_3ef49q8C4W0jOJ2,,,,,53.8017,-1.7848,anonymous,EN,6381ef78b1a4963aad7e8d52,"85
|
|
85",100||50,"85
|
|
85","50
|
|
100","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","94
|
|
89","89
|
|
81","100
|
|
90","75
|
|
75","100
|
|
90","94
|
|
81"
05/12/2022 18:32,05/12/2022 18:36,IP Address,92.3.205.100,100,199,TRUE,05/12/2022 18:36,R_1lhPS9iQgU1zX8l,,,,,52.4391,-1.5039,anonymous,EN,60fd282ff533f9561497af29,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","85
|
|
75","100
|
|
90","81
|
|
81","90
|
|
100","85
|
|
85","100
|
|
90","75
|
|
75","100
|
|
90","90
|
|
100"
05/12/2022 20:06,05/12/2022 20:09,IP Address,2.217.106.98,100,184,TRUE,05/12/2022 20:09,R_1ouVFTKwcmPNSUc,,,,,52.4391,-1.5039,anonymous,EN,6057809230133252aba175b0,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","95
|
|
75"
05/12/2022 20:32,05/12/2022 20:35,IP Address,82.41.186.213,100,169,TRUE,05/12/2022 20:35,R_1Hdj7kHgzvr3FWI,,,,,51.6539,-0.0888,anonymous,EN,58660808db3e720001e228d9,"85
|
|
85",100||50,"85
|
|
85","50
|
|
100","100
|
|
50","85
|
|
85","70
|
|
100","100
|
|
90","100
|
|
70","90
|
|
100","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","90
|
|
100"
06/12/2022 10:36,06/12/2022 10:39,IP Address,78.145.143.220,100,189,TRUE,06/12/2022 10:39,R_vSOEzTQeDqId3j3,,,,,54.385,-6.3282,anonymous,EN,595a4437caff060001c0f176,"85
|
|
24",100||50,"85
|
|
85","81
|
|
26","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50"
08/12/2022 14:06,08/12/2022 14:10,IP Address,176.248.183.57,100,199,TRUE,08/12/2022 14:10,R_2ElXWBTCmmXkJqO,,,,,54.1166,-3.235,anonymous,EN,571de7af13b1b70009be2f26,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","95
|
|
75"
