StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_1,Q2_1,Q3_1
2022-12-05 11:58:06,2022-12-05 11:59:10,IP Address,86.176.230.187,100,64,True,2022-12-05 11:59:10,R_enBpiQG6UE12bCx,,,,,51.5788,-0.1235,anonymous,EN,6025082fc74f8426d411031a,3,2,Strongly agree (7)
2022-12-05 11:59:23,2022-12-05 12:00:37,IP Address,82.14.252.35,100,74,True,2022-12-05 12:00:37,R_3ktFo0DHDqNf4ie,,,,,54.6401,-1.2336,anonymous,EN,6327351e2d98989b8e5d071a,6,5,Strongly agree (7)
2022-12-05 12:01:32,2022-12-05 12:02:19,IP Address,86.180.197.150,100,47,True,2022-12-05 12:02:19,R_71H30mdUIuJKVRD,,,,,53.5956,-1.6642,anonymous,EN,5ea07fc202b8bd05bb59bc38,7,4,5
2022-12-05 12:02:40,2022-12-05 12:03:10,IP Address,85.115.53.201,100,29,True,2022-12-05 12:03:10,R_1f8zghvuKAibHLY,,,,,51.5269,-0.0991,anonymous,EN,5e1ce5942923360769c7af3a,7,3,2
2022-12-05 12:30:24,2022-12-05 12:30:49,IP Address,46.233.83.247,100,24,True,2022-12-05 12:30:49,R_3DirS7BlIbW7a87,,,,,51.5788,-0.1235,anonymous,EN,5efb79846ed89a0e53051c30,6,Strongly disagree (1),5
2022-12-05 12:51:43,2022-12-05 12:52:12,IP Address,80.44.87.195,100,28,True,2022-12-05 12:52:12,R_3edXny1sFJpgPm0,,,,,51.4703,-3.2811,anonymous,EN,5ccf41c9bd0d3e001593ce92,6,Strongly disagree (1),Strongly agree (7)
2022-12-05 13:05:52,2022-12-05 13:06:29,IP Address,90.206.73.59,100,37,True,2022-12-05 13:06:30,R_1OPmihjZbBtPKPf,,,,,50.9169,-1.422,anonymous,EN,6346e117e4e283094ff51b84,6,Strongly disagree (1),Strongly disagree (1)
2022-12-05 13:18:40,2022-12-05 13:19:22,IP Address,2.222.31.43,100,41,True,2022-12-05 13:19:22,R_2zd3GKPwHaguDJW,,,,,52.1951,-1.1321,anonymous,EN,5e7fa0e918b10804bb87eb63,6,4,4
2022-12-05 13:19:04,2022-12-05 13:19:44,IP Address,147.161.237.88,100,40,True,2022-12-05 13:19:44,R_TpAlAmUyIQ6JG1z,,,,,53.5039,-2.1959,anonymous,EN,5c5a093738e69b0001dd9343,6,2,4
2022-12-05 14:25:33,2022-12-05 14:26:35,IP Address,86.132.74.233,100,62,True,2022-12-05 14:26:36,R_3iUKHaAwL5jNPfm,,,,,53.1114,-1.6531,anonymous,EN,5a81a9fb0f1bce00012201ef,6,4,6
2022-12-05 15:35:07,2022-12-05 15:35:39,IP Address,80.2.254.131,100,32,True,2022-12-05 15:35:40,R_25QuIs6lwCrihWZ,,,,,53.5635,-2.2239,anonymous,EN,604d5e61486bd0622d2102c0,6,Strongly disagree (1),6
2022-12-05 15:39:37,2022-12-05 15:40:23,IP Address,92.17.1.69,100,46,True,2022-12-05 15:40:23,R_1CDQ8pJMFt262Zn,,,,,53.7999,-1.5125,anonymous,EN,5f4fbebb8bb76c0c01881651,6,Strongly disagree (1),4
2022-12-05 16:26:14,2022-12-05 16:26:59,IP Address,81.101.42.53,100,45,True,2022-12-05 16:27:00,R_33Dp0suzvS3Xz8x,,,,,53.7981,-1.7623,anonymous,EN,5c5dadc66467ac0001b7fa53,6,3,5
2022-12-05 18:23:45,2022-12-05 18:24:31,IP Address,86.145.213.192,100,45,True,2022-12-05 18:24:31,R_1ONqqimLZi1NU8p,,,,,53.3297,0.053,anonymous,EN,5e9c4d6f80400c000ae44d9f,4,2,3
2022-12-05 19:09:07,2022-12-05 19:09:49,IP Address,31.94.1.222,100,42,True,2022-12-05 19:09:50,R_PMxvxhucPsy0G1X,,,,,51.5095,-0.0955,anonymous,EN,5b257364a7cee100011d8831,3,Strongly disagree (1),Strongly agree (7)
2022-12-05 19:52:18,2022-12-05 19:53:33,IP Address,82.29.63.171,100,74,True,2022-12-05 19:53:33,R_3p3erHQn0Lqg0Vx,,,,,51.9367,-0.51,anonymous,EN,5dbc7bb351b13c22d8df0fe8,7,Strongly disagree (1),6
2022-12-06 07:13:49,2022-12-06 07:14:16,IP Address,86.174.104.52,100,27,True,2022-12-06 07:14:17,R_Ycv1yjEaVYO7NBv,,,,,52.579,-1.8295,anonymous,EN,630557ad06f25e00baceed9b,6,5,5
2022-12-06 07:14:37,2022-12-06 07:14:54,Spam,86.174.104.52,100,17,True,2022-12-06 07:14:54,R_ThIftedQQFh3Qsh,,,,,52.579,-1.8295,anonymous,EN,630557ad06f25e00baceed9b,6,5,5
2022-12-06 19:21:39,2022-12-06 19:22:32,IP Address,86.153.75.66,100,53,True,2022-12-06 19:22:33,R_cT0r8QsGCnV17dn,,,,,51.5733,-0.3964,anonymous,EN,5ea9a45308251a0bef40b8c3,7,Strongly disagree (1),5
2022-12-07 19:05:56,2022-12-07 19:06:27,IP Address,95.144.135.192,100,30,True,2022-12-07 19:06:27,R_2QDqmNHQNuPwJ1u,,,,,52.6834,-1.928,anonymous,EN,5c014b9ef70a16000191765c,5,4,4
