ID,ProlificApprovals,FluentLanguages,Age,Gender,Ethnicity,CountryBirth,CountryResidence,Nationality,Language,Student,Employment,StartDate_Part1,EndDate_Part1,Progress_Part1,DurationSeconds_Part1,Finished_Part1,RecordedDate_Part1,Consent1_Part1,Consent2_Part1,Consent3_Part1,Consent4_Part1,Consent5_Part1,Consent6_Part1,Consent7_Part1,NoDI1_Comp,NoDI1_TryAgain,NoDI1_Take,NoDI1_Nothing,NoDI2_Comp,NoDI2_TryAgain,NoDI2_Take,NoDI2_Nothing,NoDI3_Comp,NoDI3_TryAgain,NoDI3_Take,NoDI3_Nothing,NoDI4_Comp,NoDI4_TryAgain,NoDI4_Take,NoDI4_Nothing,DI_Comp,DI_TryAgain,DI_Take,DI_Nothing,3PP_Comp,3PP_TryAgain,3PP_Take,3PP_Nothing,DaysWeek,DaysWeek_TryAgain,P2_Decision,Explain,SelfRate_1,SelfRate_2,SelfRate_3,SelfRate_4,SelfRate_5,SelfRate_6,SelfRate_7,SelfRate_8,SelfRate_9,SelfRate_10,SelfRate_11,DecisionConsequences,DecisionConsequences_Text,StartDate_Part2,EndDate_Part2,Progress_Part2,DurationSeconds_Part2,Finished_Part2,RecordedDate_Part2,Consent1_Part2,Consent2_Part2,Consent3_Part2,Consent4_Part2,Consent5_Part2,Consent6_Part2,SDO_1,SDO_2,SDO_3r,SDO_4r,SDO_5,SDO_6,SDO_7r,SDO_8r,SVO_01,SVO_02,SVO_03,SVO_04,SVO_05,SVO_06,SVO_07,SVO_08,SVO_09,SVO_10,SVO_11,SVO_12,SVO_13,SVO_14,SVO_15,Pers_E1,Pers_A1,Pers_C1,Pers_N1,Pers_O1,Pers_Narc1,Pers_E2r,Pers_A2r,Pers_O2r,Pers_C2,Pers_C3r,Pers_Narc2,Pers_O3r,Pers_A3,Pers_N2r,Pers_N3,Pers_N4r,Pers_HonHum1r,Pers_E3r,Pers_A4r,Pers_O4r,Pers_C4r,Pers_E4,Pers_HonHum2r,GodControls,HowReligious,RWA_1r,RWA_2,RWA_3,RWA_4r,RWA_5r,RWA_6,Education,SES_1,BringDown_1,BringUp_1,PolSlider_19,WeeksYear,WeeksYear_TryAgain,Breakfast,YearsLivedCountry
20272,180,English,68,Male,White,United States,United States,United States,English,No,NA,2023-06-20T11:44:28Z,2023-06-20T12:20:16Z,100,2148,TRUE,2023-06-20T12:20:17Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.50, Player 2 would have £0.00","I would have £0.70, Player 2 would have £0.00",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.50, Player 2 would have £0.20","I would have £0.70, Player 2 would have £0.20",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.70, Player 2 would have £0.20","I would have £0.40, Player 2 would have £0.20",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.50, Player 2 would have £0.40","I would have £0.40, Player 2 would have £0.20",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.10,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.70, Player 2 would have £0.40","I would have £0.50, Player 2 would have £0.40",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.00","I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,"Fairness entails treating individuals equitably, without bias or favoritism, to ensure that everyone has equal opportunities and receives just treatment.
",6,11,8,52,24,18,8,24,9,13,11,Yes,NA,2023-06-27T13:27:39Z,2023-06-27T13:44:53Z,100,1034,TRUE,2023-06-27T13:44:54Z,Yes,Yes,Yes,Yes,Yes,Yes,5 - Slightly favour,6 - Somewhat favour,5 - Slightly favour,5 - Slightly favour,5 - Slightly favour,5 - Slightly favour,4 - Neutral,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","91
|
|
94",3,5,5,3,6,2,2,2,2,6,2,3,2,6,5,2,4,2,5,2,2,4,5,3,Strongly agree,5 - Very religious,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Slightly disagree,Neither agree nor disagree,Masters degree,8,5,5,74,52,NA,Coffee,2
20273,1169,English,32,Male,Asian,Korea,United States,United States,English,NA,NA,2023-06-20T12:09:47Z,2023-06-20T12:20:44Z,100,656,TRUE,2023-06-20T12:20:45Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,My main motivation was to make the most bonus money possible,3,12,4,0,3,4,0,0,69,5,1,Yes,NA,2023-06-27T15:44:38Z,2023-06-27T15:48:29Z,100,231,TRUE,2023-06-27T15:48:30Z,Yes,Yes,Yes,Yes,Yes,Yes,1 - Strongly oppose,1 - Strongly oppose,6 - Somewhat favour,6 - Somewhat favour,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50",Very inaccurate (1),6,Very inaccurate (1),Very inaccurate (1),Very inaccurate (1),Very inaccurate (1),2,Very inaccurate (1),2,3,2,Very inaccurate (1),6,6,5,2,2,Very inaccurate (1),2,Very inaccurate (1),Very inaccurate (1),5,5,2,Strongly disagree,1 - Not at all religious,Somewhat agree,Very strongly disagree,Very strongly disagree,Very strongly agree,Strongly agree,Strongly disagree,High School,3,2,5,1,52,NA,Toast,32
20274,776,English,42,Male,Black,United Kingdom,United States,United States,English,No,Full-Time,2023-06-20T11:42:23Z,2023-06-20T12:20:46Z,100,2302,TRUE,2023-06-20T12:20:47Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.80, Player 2 would have £0.20","I would have £0.70, Player 2 would have £0.20",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.50, Player 2 would have £0.40","I would have £0.40, Player 2 would have £0.40",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,If i have more i do not take from partner but if i have less i take,0,93,95,89,28,15,0,10,19,45,8,Yes,NA,2023-06-27T10:50:27Z,2023-06-27T11:04:40Z,100,852,TRUE,2023-06-27T11:04:41Z,Yes,Yes,Yes,Yes,Yes,Yes,3 - Slightly oppose,3 - Slightly oppose,6 - Somewhat favour,7 - Strongly favour,2 - Somewhat oppose,2 - Somewhat oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","50
|
|
100","100
|
|
50","87
|
|
81","100
|
|
50","91
|
|
99","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","94
|
|
56","100
|
|
90","90
|
|
100",2,6,6,2,6,2,6,2,2,6,2,4,2,6,6,2,5,3,6,2,2,2,3,4,Strongly agree,4,Slightly disagree,Strongly agree,Very strongly agree,Strongly disagree,Very strongly disagree,Strongly agree,Masters degree,6,2,5,0,52,NA,NOTHING,13
20275,3965,English,72,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",2023-06-20T11:57:56Z,2023-06-20T12:20:49Z,100,1372,TRUE,2023-06-20T12:20:50Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.50, Player 2 would have £0.20","I would have £0.50, Player 2 would have £0.20",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,"two main issues were involved.  i did not care if player 2 took .20 if that would make the bonuses more equal.  i did not like it if the other person ended up with a bonus that was larger than mine, but i saw no reason to pay out money just to disadvatage the other player.  in that case both of us lost money.",13,78,64,92,15,15,1,0,95,56,10,No,NA,2023-06-27T12:09:58Z,2023-06-27T12:25:05Z,100,906,TRUE,2023-06-27T12:25:06Z,Yes,Yes,Yes,Yes,Yes,Yes,2 - Somewhat oppose,4 - Neutral,7 - Strongly favour,3 - Slightly oppose,5 - Slightly favour,3 - Slightly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","88
|
|
78","93
|
|
93","89
|
|
81","100
|
|
90","75
|
|
75","100
|
|
90","90
|
|
100",3,6,4,5,6,Very inaccurate (1),3,Very inaccurate (1),Very inaccurate (1),6,2,2,Very inaccurate (1),6,3,6,3,2,3,Very inaccurate (1),Very inaccurate (1),2,2,3,Strongly disagree,1 - Not at all religious,Somewhat agree,Strongly disagree,Very strongly disagree,Somewhat agree,Neither agree nor disagree,Slightly agree,Masters degree,7,2,6,13,52,NA,only a cup of coffee,72
20276,4111,English,45,Male,White,United States,United States,United States,English,No,Full-Time,2023-06-20T11:56:36Z,2023-06-20T12:20:55Z,100,1459,TRUE,2023-06-20T12:20:57Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,I made an effort to ensure that other players received points equally.,0,14,14,100,16,0,0,0,100,1,0,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20277,427,"Dutch, English, French, Spanish",38,Male,Mixed,Argentina,United States,Argentina,Spanish,No,Full-Time,2023-06-20T12:10:10Z,2023-06-20T12:21:03Z,100,652,TRUE,2023-06-20T12:21:04Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,Trying to be as fair as possible,57,57,39,55,44,7,0,0,27,7,58,Yes,NA,2023-06-27T11:35:47Z,2023-06-27T12:07:52Z,100,1925,TRUE,2023-06-27T12:07:53Z,Yes,Yes,Yes,Yes,Yes,Yes,2 - Somewhat oppose,2 - Somewhat oppose,6 - Somewhat favour,4 - Neutral,2 - Somewhat oppose,2 - Somewhat oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","88
|
|
78","93
|
|
93","85
|
|
85","100
|
|
90","75
|
|
75","100
|
|
90","91
|
|
94",4,6,Very accurate (7),3,4,4,Very inaccurate (1),2,2,6,Very inaccurate (1),5,5,6,2,5,2,4,2,Very inaccurate (1),Very inaccurate (1),Very inaccurate (1),5,6,Strongly disagree,1 - Not at all religious,Somewhat agree,Somewhat disagree,Very strongly disagree,Strongly agree,Strongly agree,Slightly agree,PhD or equivalent,7,Strongly agree (7),6,20,52,NA,Coffee,9
20278,2622,English,42,Female,White,United States,United States,United States,English,NA,NA,2023-06-20T11:57:10Z,2023-06-20T12:21:06Z,100,1435,TRUE,2023-06-20T12:21:07Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £1.30, Player 1 would have £0.50, Player 2 would have £0.60","I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,the main motivation for making the decision is calculating the final bonus of all,0,58,67,58,43,0,0,0,78,85,0,Yes,NA,2023-06-27T15:18:08Z,2023-06-27T15:34:45Z,100,996,TRUE,2023-06-27T15:34:46Z,Yes,Yes,Yes,Yes,Yes,Yes,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
50",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50",Very accurate (7),Very accurate (7),Very accurate (7),Very inaccurate (1),6,Very accurate (7),Very inaccurate (1),Very inaccurate (1),Very inaccurate (1),6,Very inaccurate (1),5,Very inaccurate (1),Very accurate (7),Very accurate (7),Very inaccurate (1),Very accurate (7),5,Very inaccurate (1),Very inaccurate (1),Very inaccurate (1),Very inaccurate (1),Very accurate (7),Very accurate (7),Strongly agree,5 - Very religious,Somewhat disagree,Somewhat agree,Strongly agree,Very strongly disagree,Very strongly disagree,Slightly agree,PhD or equivalent,9,Strongly disagree (1),Strongly disagree (1),84,52,NA,Sandwich,42
20279,1831,English,54,Female,White,United States,United States,United States,English,No,Full-Time,2023-06-20T11:55:25Z,2023-06-20T12:21:10Z,100,1545,TRUE,2023-06-20T12:21:12Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.50, Player 2 would have £0.20","I would have £0.40, Player 2 would have £0.20",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,I was being fair and not greedy.,0,0,0,100,0,0,0,0,100,0,0,No,NA,2023-06-27T12:22:46Z,2023-06-27T12:34:24Z,100,698,TRUE,2023-06-27T12:34:25Z,Yes,Yes,Yes,Yes,Yes,Yes,2 - Somewhat oppose,2 - Somewhat oppose,4 - Neutral,4 - Neutral,5 - Slightly favour,5 - Slightly favour,3 - Slightly oppose,4 - Neutral,"85
|
|
85",100||50,"85
|
|
85","63
|
|
68","75
|
|
75","85
|
|
85","81
|
|
81","96
|
|
94","88
|
|
78","95
|
|
85","85
|
|
85","100
|
|
90","75
|
|
75","100
|
|
90","90
|
|
100",2,6,6,Very inaccurate (1),4,2,4,3,4,6,Very inaccurate (1),2,3,6,6,2,3,Very inaccurate (1),4,Very inaccurate (1),4,2,4,2,Strongly agree,5 - Very religious,Very strongly disagree,Neither agree nor disagree,Very strongly agree,Very strongly disagree,Slightly agree,Slightly agree,High School,3,Strongly disagree (1),5,100,52,NA,toast,60
20280,3873,"English, Spanish",33,Male,White,United States,United States,United States,English,NA,Full-Time,2023-06-20T11:25:48Z,2023-06-20T12:21:16Z,100,3327,TRUE,2023-06-20T12:21:16Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,I made my decisions to maximize my reward. I did not care what the other person got.,0,91,0,0,0,0,0,0,100,16,0,Yes,NA,2023-06-28T13:26:11Z,2023-06-28T13:37:06Z,100,654,TRUE,2023-06-28T13:37:07Z,Yes,Yes,Yes,Yes,Yes,Yes,7 - Strongly favour,7 - Strongly favour,7 - Strongly favour,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,1 - Strongly oppose,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50",5,Very accurate (7),Very accurate (7),Very inaccurate (1),6,4,Very inaccurate (1),2,Very inaccurate (1),Very accurate (7),Very inaccurate (1),6,Very inaccurate (1),Very accurate (7),6,Very inaccurate (1),Very accurate (7),5,2,Very inaccurate (1),Very inaccurate (1),Very inaccurate (1),Very accurate (7),6,Slightly agree,3,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Slightly disagree,Strongly agree,Masters degree,7,Strongly disagree (1),Strongly disagree (1),65,52,NA,I had eggs and toast.,33
20281,780,English,32,Female,White,United States,United States,United States,English,No,Full-Time,2023-06-20T11:58:57Z,2023-06-20T12:21:42Z,100,1364,TRUE,2023-06-20T12:21:43Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,I did not deduct from the other player unless they deducted from me to begin with. I deducted at the end to make it fair.,100,52,49,47,80,93,0,0,0,0,0,Yes,NA,2023-06-27T14:18:53Z,2023-06-27T14:27:22Z,76,508,FALSE,2023-07-03T10:17:58Z,Yes,Yes,Yes,Yes,Yes,Yes,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","96
|
|
91","91
|
|
94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Strongly agree (7),Strongly agree (7),0,NA,NA,NA,NA
