ID,ProlificApprovals,FluentLanguages,Age,Gender,Ethnicity,CountryBirth,CountryResidence,Nationality,Language,Student,Employment,StartDate_Part1,EndDate_Part1,Progress_Part1,DurationSeconds_Part1,Finished_Part1,RecordedDate_Part1,Consent1_Part1,Consent2_Part1,Consent3_Part1,Consent4_Part1,Consent5_Part1,Consent6_Part1,Consent7_Part1,NoDI1_Comp,NoDI1_TryAgain,NoDI1_Take,NoDI1_Nothing,NoDI2_Comp,NoDI2_TryAgain,NoDI2_Take,NoDI2_Nothing,NoDI3_Comp,NoDI3_TryAgain,NoDI3_Take,NoDI3_Nothing,NoDI4_Comp,NoDI4_TryAgain,NoDI4_Take,NoDI4_Nothing,DI_Comp,DI_TryAgain,DI_Take,DI_Nothing,3PP_Comp,3PP_TryAgain,3PP_Take,3PP_Nothing,DaysWeek,DaysWeek_TryAgain,P2_Decision,Explain,SelfRate_1,SelfRate_2,SelfRate_3,SelfRate_4,SelfRate_5,SelfRate_6,SelfRate_7,SelfRate_8,SelfRate_9,SelfRate_10,SelfRate_11,DecisionConsequences,DecisionConsequences_Text,StartDate_Part2,EndDate_Part2,Progress_Part2,DurationSeconds_Part2,Finished_Part2,RecordedDate_Part2,Consent1_Part2,Consent2_Part2,Consent3_Part2,Consent4_Part2,Consent5_Part2,Consent6_Part2,SDO_1,SDO_2,SDO_3r,SDO_4r,SDO_5,SDO_6,SDO_7r,SDO_8r,SVO_01,SVO_02,SVO_03,SVO_04,SVO_05,SVO_06,SVO_07,SVO_08,SVO_09,SVO_10,SVO_11,SVO_12,SVO_13,SVO_14,SVO_15,Pers_E1,Pers_A1,Pers_C1,Pers_N1,Pers_O1,Pers_Narc1,Pers_E2r,Pers_A2r,Pers_O2r,Pers_C2,Pers_C3r,Pers_Narc2,Pers_O3r,Pers_A3,Pers_N2r,Pers_N3,Pers_N4r,Pers_HonHum1r,Pers_E3r,Pers_A4r,Pers_O4r,Pers_C4r,Pers_E4,Pers_HonHum2r,GodControls,HowReligious,RWA_1r,RWA_2,RWA_3,RWA_4r,RWA_5r,RWA_6,Education,SES_1,BringDown_1,BringUp_1,PolSlider_19,WeeksYear,WeeksYear_TryAgain,Breakfast
304,9,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,2022-11-28T08:53:37Z,2022-11-28T09:06:55Z,100,798,TRUE,2022-11-28T09:06:55Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.10,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £1.30, Player 1 would have £0.50, Player 2 would have £0.60","I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,To try and finish the game with the most money.,91,100,92,80,89,81,6,1,95,69,91,NA,NA,2022-12-05T21:44:00Z,2022-12-05T21:54:00Z,100,606,TRUE,2022-12-05T21:54:00Z,Yes,Yes,Yes,Yes,Yes,Yes,7 - Strongly favour,6 - Somewhat favour,7 - Strongly favour,7 - Strongly favour,4 - Neutral,2 - Somewhat oppose,6 - Somewhat favour,6 - Somewhat favour,"85
|
|
85",100||50,"85
|
|
85","63
|
|
68","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","91
|
|
94",5,6,2,2,2,Very inaccurate (1),2,Very inaccurate (1),3,Very accurate (7),2,Very inaccurate (1),Very accurate (7),5,6,2,5,2,2,Very inaccurate (1),5,4,2,2,Somewhat disagree,1 - Not at all religious,Very strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Diploma / other professional certificate,6,2,Strongly agree (7),51,52,NA,Lindt chocolate from my advent calendar!
305,150,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other,2022-11-28T08:54:01Z,2022-11-28T09:07:01Z,100,779,TRUE,2022-11-28T09:07:01Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,"if player two took my money id reduce theres, if the computer took my money i would not take player 2s as it was out of there hands",61,54,70,100,69,35,23,76,50,31,61,Yes,NA,2022-12-05T08:54:00Z,2022-12-05T09:03:00Z,100,546,TRUE,2022-12-05T09:03:00Z,Yes,Yes,Yes,Yes,Yes,Yes,4 - Neutral,4 - Neutral,6 - Somewhat favour,7 - Strongly favour,2 - Somewhat oppose,2 - Somewhat oppose,6 - Somewhat favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","63
|
|
68","81
|
|
69","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","91
|
|
94",4,6,Very accurate (7),5,6,4,5,4,2,5,3,5,Very inaccurate (1),4,5,2,3,5,5,4,2,2,4,Very accurate (7),Somewhat disagree,1 - Not at all religious,Strongly agree,Very strongly disagree,Very strongly disagree,Very strongly agree,Slightly agree,Neither agree nor disagree,High School,3,3,Strongly agree (7),48,52,NA,corn flakes with milk and a coffee
306,640,English,67,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,2022-11-28T08:53:26Z,2022-11-28T09:07:07Z,100,820,TRUE,2022-11-28T09:07:07Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,money really i suppose but i did consider a bit that the other participant might be left with none.,70,25,70,17,8,73,22,39,15,17,17,NA,NA,2022-12-05T18:13:00Z,2022-12-05T18:22:00Z,100,516,TRUE,2022-12-05T18:22:00Z,Yes,Yes,Yes,Yes,Yes,Yes,6 - Somewhat favour,6 - Somewhat favour,5 - Slightly favour,5 - Slightly favour,5 - Slightly favour,5 - Slightly favour,5 - Slightly favour,5 - Slightly favour,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","88
|
|
78","95
|
|
85","100
|
|
70","100
|
|
90","75
|
|
75","100
|
|
90","94
|
|
81",3,5,Very accurate (7),2,6,3,Very inaccurate (1),2,2,Very accurate (7),2,5,2,2,6,2,6,2,4,2,2,Very inaccurate (1),5,3,Strongly disagree,1 - Not at all religious,Slightly agree,Somewhat disagree,Strongly disagree,Very strongly agree,Slightly disagree,Slightly agree,Diploma / other professional certificate,6,3,2,38,52,NA,Cup of tea
307,246,"Portuguese, English",26,Male,White,Portugal,United Kingdom,United Kingdom,Portuguese,NA,NA,2022-11-28T08:57:51Z,2022-11-28T09:07:10Z,100,558,TRUE,2022-11-28T09:07:11Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,I had the maximum amount of money possible unless i was able to make the other player go to 0 or negative,12,83,17,8,10,9,3,12,17,12,7,No,NA,2022-12-07T11:05:00Z,2022-12-07T11:11:00Z,100,348,TRUE,2022-12-07T11:11:00Z,Yes,Yes,Yes,Yes,Yes,Yes,3 - Slightly oppose,6 - Somewhat favour,3 - Slightly oppose,3 - Slightly oppose,6 - Somewhat favour,2 - Somewhat oppose,6 - Somewhat favour,6 - Somewhat favour,"85
|
|
76",100||50,"85
|
|
85","63
|
|
68","75
|
|
75","85
|
|
85","85
|
|
75","95
|
|
95","81
|
|
81","95
|
|
85","85
|
|
85","100
|
|
90","75
|
|
75","100
|
|
90","90
|
|
100",2,5,2,4,5,4,3,4,4,2,4,4,2,4,5,2,4,3,2,4,2,6,4,3,Somewhat disagree,2,Somewhat disagree,Somewhat disagree,Strongly disagree,Very strongly agree,Somewhat disagree,Neither agree nor disagree,Masters degree,5,6,Strongly disagree (1),52,52,NA,Toasted Bread
308,1904,English,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,2022-11-28T08:48:22Z,2022-11-28T09:07:13Z,100,1131,TRUE,2022-11-28T09:07:14Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.50, Player 2 would have £0.00","I would have £0.40, Player 2 would have £0.00",No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,"Ás I would not receive any of the bonus taken from player 2 there seemed no reason to deprive them of any of it, particularly as I would have to pay and lose some.  In the last game, however, I would benefit more from taking partial bonus than I would have to pay so I decided to take part of their benefit.",10,35,68,10,80,24,0,0,7,3,2,NA,NA,2022-12-05T08:47:00Z,2022-12-05T08:56:00Z,100,540,TRUE,2022-12-05T08:56:00Z,Yes,Yes,Yes,Yes,Yes,Yes,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50",5,6,Very accurate (7),Very inaccurate (1),3,2,2,3,3,Very accurate (7),Very inaccurate (1),2,3,5,6,3,6,Very inaccurate (1),Very inaccurate (1),3,3,Very inaccurate (1),5,2,Strongly disagree,1 - Not at all religious,Slightly agree,Somewhat disagree,Very strongly disagree,Very strongly agree,Slightly agree,Somewhat disagree,Completed university,8,Strongly disagree (1),6,35,NA,NA,Cereal
309,1768,English,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,2022-11-28T08:59:28Z,2022-11-28T09:07:20Z,100,472,TRUE,2022-11-28T09:07:20Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,"I didn't want to cut off my nose to spite my face, there was no point in me taking revenge because I then lost out too.",0,71,67,0,0,0,0,0,6,94,3,Yes,NA,2022-12-05T10:27:00Z,2022-12-05T10:32:00Z,100,310,TRUE,2022-12-05T10:32:00Z,Yes,Yes,Yes,Yes,Yes,Yes,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","100
|
|
90","75
|
|
75","100
|
|
90","90
|
|
100",6,Very accurate (7),2,2,5,Very inaccurate (1),2,Very inaccurate (1),3,5,4,4,3,Very accurate (7),4,2,4,2,2,Very inaccurate (1),4,3,6,2,Strongly disagree,1 - Not at all religious,Strongly agree,Strongly disagree,Very strongly disagree,Very strongly agree,Strongly agree,Somewhat disagree,Completed university,7,Strongly agree (7),Strongly agree (7),14,52,NA,Toast with butter and jam
310,834,English,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,2022-11-28T08:38:18Z,2022-11-28T09:07:28Z,100,1749,TRUE,2022-11-28T09:07:28Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,No - I do not want to take £0.20 of Player 1's bonus,"my main motivation was to keep as much of my money as I could, so that meant even if the other players had more than me.",0,10,0,11,0,0,0,0,52,100,0,NA,NA,2022-12-05T08:48:00Z,2022-12-05T09:01:00Z,100,737,TRUE,2022-12-05T09:01:00Z,Yes,Yes,Yes,Yes,Yes,Yes,5 - Slightly favour,1 - Strongly oppose,5 - Slightly favour,7 - Strongly favour,4 - Neutral,5 - Slightly favour,6 - Somewhat favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","85
|
|
15","100
|
|
50","100
|
|
50","100
|
|
50","100
|
|
90","100
|
|
70","100
|
|
70","100
|
|
70","100
|
|
90","100
|
|
50","100
|
|
90","100
|
|
50",4,5,2,4,5,2,3,3,3,5,4,3,2,5,4,5,4,5,4,3,3,2,4,3,Neutral,3,Slightly disagree,Slightly disagree,Slightly disagree,Very strongly agree,Slightly disagree,Strongly agree,High School,7,4,Strongly agree (7),51,52,NA,Toast
311,705,"French, English",51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,2022-11-28T08:53:45Z,2022-11-28T09:07:31Z,100,826,TRUE,2022-11-28T09:07:31Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,Yes - I want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,I wanted to keep the highest bonus possible.,5,99,99,97,97,9,2,5,99,42,19,NA,NA,2022-12-05T09:00:00Z,2022-12-05T09:04:00Z,100,261,TRUE,2022-12-05T09:04:00Z,Yes,Yes,Yes,Yes,Yes,Yes,4 - Neutral,1 - Strongly oppose,7 - Strongly favour,6 - Somewhat favour,3 - Slightly oppose,3 - Slightly oppose,6 - Somewhat favour,6 - Somewhat favour,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","81
|
|
69","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","95
|
|
85","85
|
|
85","100
|
|
90","75
|
|
75","96
|
|
91","90
|
|
100",5,Very accurate (7),5,Very inaccurate (1),5,3,3,2,2,6,Very inaccurate (1),3,2,Very accurate (7),Very accurate (7),3,Very accurate (7),Very inaccurate (1),2,Very inaccurate (1),2,2,6,5,Slightly agree,3,Somewhat disagree,Somewhat disagree,Very strongly disagree,Very strongly agree,Slightly disagree,Slightly agree,Completed university,8,2,Strongly agree (7),52,52,NA,I don't eat breakfast
312,224,English,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,2022-11-28T08:51:40Z,2022-11-28T09:07:32Z,100,952,TRUE,2022-11-28T09:07:33Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,Retaining the maximum amount of bonus for myself,0,89,75,32,1,1,0,0,82,79,0,NA,NA,2022-12-05T15:43:00Z,2022-12-05T15:52:00Z,100,528,TRUE,2022-12-05T15:52:00Z,Yes,Yes,Yes,Yes,Yes,Yes,2 - Somewhat oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,1 - Strongly oppose,1 - Strongly oppose,7 - Strongly favour,7 - Strongly favour,"85
|
|
85",100||50,"85
|
|
85","63
|
|
68","75
|
|
75","85
|
|
85","81
|
|
81","95
|
|
95","81
|
|
81","93
|
|
93","85
|
|
85","94
|
|
91","75
|
|
75","93
|
|
93","93
|
|
88",3,6,6,5,3,3,Very accurate (7),6,3,Very accurate (7),2,4,4,6,5,5,5,2,Very inaccurate (1),2,4,Very accurate (7),2,5,Strongly disagree,1 - Not at all religious,Somewhat disagree,Strongly disagree,Very strongly disagree,Very strongly agree,Strongly agree,Strongly disagree,PhD or equivalent,7,6,Strongly agree (7),50,52,NA,Muesli
313,978,English,74,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other,2022-11-28T08:49:48Z,2022-11-28T09:07:43Z,100,1074,TRUE,2022-11-28T09:07:43Z,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"I would have £0.40, Player 2 would have £0.00",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.20",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.10,"I would have £0.40, Player 2 would have £0.40",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,"I would have £0.90, Player 1 would have £0.50, Player 2 would have £0.60",NA,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,No - I do not want to pay £0.10 to reduce Player 2's bonus by £0.30,7,NA,Yes - I want to take £0.20 of Player 1's bonus,To keep it fair,2,35,12,88,1,0,0,0,77,47,8,NA,NA,2022-12-05T08:56:00Z,2022-12-05T09:06:00Z,100,618,TRUE,2022-12-05T09:06:00Z,Yes,Yes,Yes,Yes,Yes,Yes,6 - Somewhat favour,4 - Neutral,7 - Strongly favour,6 - Somewhat favour,6 - Somewhat favour,7 - Strongly favour,5 - Slightly favour,5 - Slightly favour,"85
|
|
85",100||50,"85
|
|
85","68
|
|
58","94
|
|
56","93
|
|
68","89
|
|
69","95
|
|
95","100
|
|
70","96
|
|
81","93
|
|
78","94
|
|
91","75
|
|
75","96
|
|
91","95
|
|
75",2,6,2,Very inaccurate (1),5,2,6,Very inaccurate (1),6,5,4,Very inaccurate (1),3,6,5,5,Very accurate (7),Very inaccurate (1),5,Very inaccurate (1),6,2,6,Very inaccurate (1),Strongly agree,5 - Very religious,Very strongly disagree,Somewhat agree,Very strongly agree,Very strongly disagree,Strongly disagree,Strongly agree,High School,8,Strongly disagree (1),5,NA,52,NA,nothing yet
